Espacialidades;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;mortalidade;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23
Ocara;0,53;53,9;42,29;84,98;99,59;30,58;20,29;41,22;67;24007;22,9;2,25;55,46;9,16;46,65;33;108,35;94,63;30,07;9,97;208,77;32,09;44,25;31,33
Orós;0,49;88,29;76,61;95,58;99,76;30,91;18,62;39,87;40;21389;19,4;1,97;52,16;10,61;51,02;60;103,12;92,38;29,69;9,25;298,84;15,74;25,44;41,47
Pacajus;0,47;80,04;68,08;92,29;99,42;30,51;20,48;31,84;52;61838;20,1;1,96;49,73;6,26;47,82;48;114,99;95,09;18,26;9,91;354,78;7,96;11,83;36,6
Pacatuba;0,44;97,76;94,36;97,41;99,63;42,23;26,64;24,67;54;72299;21,6;1,93;47,77;4,69;49,03;46;121,76;92,55;9,38;9,77;344,63;6,66;10,44;37,05
Pacoti;0,5;78,91;74,85;92,76;99,39;36,94;23,17;33,49;46;11607;22,5;1,95;57,66;8,51;46,17;54;104,37;92,35;20,33;9,28;279,49;17;26,53;39,47
Pacujá;0,5;72,56;74,04;97,65;99,71;27,06;23,36;40,79;43;5986;27,4;2,39;59,12;10,02;70,53;57;104,38;95,08;28,15;9,99;264,03;17,87;27,73;39,15
Palhano;0,47;72;53,79;90,9;99,15;15,65;16,11;28,7;43;8866;31,7;1,68;47,91;9,65;50,37;57;102,25;95,21;28,38;10,33;281,69;17,94;29,71;38,64
Palmácia;0,63;60,64;43,57;88,05;98,63;49,43;17,43;41,05;43;12005;27,9;2,31;56,27;9,21;54,17;57;96,46;83,79;24,09;9,06;315,23;24,51;37,25;34,11
Paracuru;0,55;94,62;64,11;89,21;98,54;35,46;34,05;38,81;47;31636;27,3;2,32;52,66;7,46;63,13;53;107,53;93,55;20,15;10;328,2;16,65;23,17;38,16
Paraipaba;0,5;88,53;61,14;95,33;99,15;37,81;28,91;33,21;48;30041;28,8;2,5;55,47;7,2;54,73;52;103,73;92,94;19,94;9,42;283,79;17,3;24,89;39,81
Parambu;0,53;63,73;48,02;90,86;96,28;34,43;32,54;54,69;57;31309;24;2,52;62,07;9,86;74,8;43;104,93;89,16;35,09;10,11;211,05;28,46;39,54;32,4
Paramoti;0,52;68,21;54,34;94,16;98,06;38,92;31,7;43,63;49;11308;28,2;2,45;62,42;8,66;63,62;51;113,75;96,23;29,78;10,01;196,63;32,31;46,28;31,45
Pedra Branca;0,5;73,19;59,69;96;98,09;39,47;28,69;46,65;49;41890;21,6;2,17;57,96;9,68;57,68;51;102,61;91,84;33,19;9,69;231,56;25,04;35,67;32,19
Penaforte;0,45;76,06;81,54;87,75;99,5;33,69;30,78;33,58;50;8226;24,6;2,71;56,33;7,32;49,43;50;101,81;94,01;22,17;10,11;271,18;16,07;21,56;40,58
